hits,bytes/GB,spatial_id,product,date,Lat,Lon
1973,1.31,54HVG,L2/sentinel-2-nrt,2019-08-01,-34.8,140.5
9373,1.23,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
2416,1.29,56JML,L2/sentinel-2-nrt,2019-08-01,-31.2,152.5
9370,1.22,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
2184,1.29,51JTG,L2/sentinel-2-nrt,2019-08-01,-30.3,120.5
9318,1.2,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
9319,1.2,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
1940,1.27,50JQM,L2/sentinel-2-nrt,2019-08-01,-30.3,119.6
9319,1.19,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
1887,1.26,50JQM,L2/sentinel-2-nrt,2019-08-01,-30.3,119.6
9319,1.19,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
2905,1.24,"17,-39",bare-earth/summary,2019-08-01,-34.1,151.1
2905,1.22,"17,-39",bare-earth/summary,2019-08-01,-34.1,151.1
7953,1.17,56JLR,L2/sentinel-2-nrt,2019-08-01,-26.7,151.5
37244,26.32,56JMN,L2/sentinel-2-nrt,2019-09-01,-29.4,152.5
34840,26.24,56JMN,L2/sentinel-2-nrt,2019-09-01,-29.4,152.5
34843,23.99,56JMN,L2/sentinel-2-nrt,2019-09-01,-29.4,152.5
32350,21.55,56JLN,L2/sentinel-2-nrt,2019-09-01,-29.4,151.5
33026,20.6,56JLN,L2/sentinel-2-nrt,2019-09-01,-29.4,151.5
32359,19.8,56JLN,L2/sentinel-2-nrt,2019-09-01,-29.4,151.5
43624,16.98,"18,-26",geomedian-australia/v2.1.0,2019-09-01,-22.5,150.2
43628,16.47,"18,-26",geomedian-australia/v2.1.0,2019-09-01,-22.5,150.2
42484,15.64,"18,-26",geomedian-australia/v2.1.0,2019-09-01,-22.5,150.2
15876,7.87,56JNN,L2/sentinel-2-nrt,2019-09-01,-29.4,153.6
16504,7.1,56JMN,L2/sentinel-2-nrt,2019-09-01,-29.4,152.5
12773,6.32,56JNN,L2/sentinel-2-nrt,2019-09-01,-29.4,153.6
13405,5.61,55JDG,L2/sentinel-2-nrt,2019-09-01,-30.3,146.5
12106,5.55,56JNN,L2/sentinel-2-nrt,2019-09-01,-29.4,153.6
10653,5.48,56JMN,L2/sentinel-2-nrt,2019-09-01,-29.4,152.5
13506,5.44,55JDG,L2/sentinel-2-nrt,2019-09-01,-30.3,146.5
13415,5.24,55JDG,L2/sentinel-2-nrt,2019-09-01,-30.3,146.5
5446,5.03,55JGM,L2/sentinel-2-nrt,2019-09-01,-25.8,149.5
8659,4.91,56JNN,L2/sentinel-2-nrt,2019-09-01,-29.4,153.6
18613,4.65,"17,-26",geomedian-australia/v2.1.0,2019-09-01,-22.6,149.2
4276,4.66,55JGM,L2/sentinel-2-nrt,2019-09-01,-25.8,149.5
18613,4.43,"17,-26",geomedian-australia/v2.1.0,2019-09-01,-22.6,149.2
5057,4.52,55JHM,L2/sentinel-2-nrt,2019-09-01,-25.8,150.5
18613,4.29,"17,-26",geomedian-australia/v2.1.0,2019-09-01,-22.6,149.2
8591,4.32,56JNP,L2/sentinel-2-nrt,2019-09-01,-28.5,153.6
7852,4.26,56JNP,L2/sentinel-2-nrt,2019-09-01,-28.5,153.6
7365,4.23,56JNN,L2/sentinel-2-nrt,2019-09-01,-29.4,153.6
14129,4.12,56JMP,L2/sentinel-2-nrt,2019-09-01,-28.5,152.5
5045,4.06,55JHM,L2/sentinel-2-nrt,2019-09-01,-25.8,150.5
7317,3.97,56JNN,L2/sentinel-2-nrt,2019-09-01,-29.4,153.6
7603,3.95,56JNP,L2/sentinel-2-nrt,2019-09-01,-28.5,153.6
13482,3.68,56JMP,L2/sentinel-2-nrt,2019-09-01,-28.5,152.5
12094,3.54,56JMP,L2/sentinel-2-nrt,2019-09-01,-28.5,152.5
6489,3.4,56JMN,L2/sentinel-2-nrt,2019-09-01,-29.4,152.5
9044,3.32,56JMM,L2/sentinel-2-nrt,2019-09-01,-30.3,152.5
12107,3.27,56JMP,L2/sentinel-2-nrt,2019-09-01,-28.5,152.5
7946,3.23,56JMM,L2/sentinel-2-nrt,2019-09-01,-30.3,152.5
12544,3.03,"18,-25",geomedian-australia/v2.1.0,2019-09-01,-21.6,150.1
12544,3.01,"18,-25",geomedian-australia/v2.1.0,2019-09-01,-21.6,150.1
4918,3.08,56JMN,L2/sentinel-2-nrt,2019-09-01,-29.4,152.5
4473,3.03,56JNN,L2/sentinel-2-nrt,2019-09-01,-29.4,153.6
12543,2.94,"18,-25",geomedian-australia/v2.1.0,2019-09-01,-21.6,150.1
10733,2.8,56JMM,L2/sentinel-2-nrt,2019-09-01,-30.3,152.5
8336,2.78,56JMN,L2/sentinel-2-nrt,2019-09-01,-29.4,152.5
7087,2.79,56JMN,L2/sentinel-2-nrt,2019-09-01,-29.4,152.5
7045,2.75,56JNP,L2/sentinel-2-nrt,2019-09-01,-28.5,153.6
8491,2.65,"18,-27",geomedian-australia/v2.1.0,2019-09-01,-23.3,150.3
3694,2.6,56JKS,L2/sentinel-2-nrt,2019-09-01,-25.8,150.6
8491,2.54,"18,-27",geomedian-australia/v2.1.0,2019-09-01,-23.3,150.3
11900,2.48,"19,-26",geomedian-australia/v2.1.0,2019-09-01,-22.3,151.2
11900,2.47,"19,-26",geomedian-australia/v2.1.0,2019-09-01,-22.3,151.2
7783,2.51,56JMN,L2/sentinel-2-nrt,2019-09-01,-29.4,152.5
11901,2.44,"19,-26",geomedian-australia/v2.1.0,2019-09-01,-22.3,151.2
8491,2.45,"18,-27",geomedian-australia/v2.1.0,2019-09-01,-23.3,150.3
1220,2.49,"-17,-35",WOfS/filtered_summary,2019-09-01,-30.7,114.5
5313,2.35,56JMN,L2/sentinel-2-nrt,2019-09-01,-29.4,152.5
4836,2.34,56JMN,L2/sentinel-2-nrt,2019-09-01,-29.4,152.5
4835,2.34,56JMN,L2/sentinel-2-nrt,2019-09-01,-29.4,152.5
7317,2.3,56JLP,L2/sentinel-2-nrt,2019-09-01,-28.5,151.5
6760,2.28,56JNP,L2/sentinel-2-nrt,2019-09-01,-28.5,153.6
6889,2.27,56JMP,L2/sentinel-2-nrt,2019-09-01,-28.5,152.5
2472,2.27,56JLS,L2/sentinel-2-nrt,2019-09-01,-25.8,151.6
3655,2.22,56JKS,L2/sentinel-2-nrt,2019-09-01,-25.8,150.6
6789,2.17,56JMM,L2/sentinel-2-nrt,2019-09-01,-30.3,152.5
4802,2.18,56JNQ,L2/sentinel-2-nrt,2019-09-01,-27.6,153.6
4519,2.15,56JNQ,L2/sentinel-2-nrt,2019-09-01,-27.6,153.6
2433,2.13,55JGM,L2/sentinel-2-nrt,2019-09-01,-25.8,149.5
1398,2.13,"-17,-34",WOfS/filtered_summary,2019-09-01,-29.8,114.7
5393,2.05,56JMM,L2/sentinel-2-nrt,2019-09-01,-30.3,152.5
8521,2.01,55JDH,L2/sentinel-2-nrt,2019-09-01,-29.4,146.5
4154,2.02,56JNQ,L2/sentinel-2-nrt,2019-09-01,-27.6,153.6
8597,1.94,55JDH,L2/sentinel-2-nrt,2019-09-01,-29.4,146.5
2520,1.98,56JLS,L2/sentinel-2-nrt,2019-09-01,-25.8,151.6
8575,1.89,55JDH,L2/sentinel-2-nrt,2019-09-01,-29.4,146.5
2411,1.94,51KUT,L2/sentinel-2-nrt,2019-09-01,-20.4,121.6
2411,1.94,51KUT,L2/sentinel-2-nrt,2019-09-01,-20.4,121.6
5391,1.91,56JMM,L2/sentinel-2-nrt,2019-09-01,-30.3,152.5
5624,1.9,56JNP,L2/sentinel-2-nrt,2019-09-01,-28.5,153.6
8266,1.86,56JMP,L2/sentinel-2-nrt,2019-09-01,-28.5,152.5
6113,1.84,56JMM,L2/sentinel-2-nrt,2019-09-01,-30.3,152.5
3641,1.87,56JMN,L2/sentinel-2-nrt,2019-09-01,-29.4,152.5
2081,1.87,55JHM,L2/sentinel-2-nrt,2019-09-01,-25.8,150.5
2952,1.81,209,item_v2/v2.0.1,2019-09-01,-18.07,122.20
2115,1.79,"16,-34",WOfS/filtered_summary,2019-09-01,-29.8,149.3
2062,1.76,55JGM,L2/sentinel-2-nrt,2019-09-01,-25.8,149.5
1536,1.72,55JGM,L2/sentinel-2-nrt,2019-09-01,-25.8,149.5
2844,1.7,56JNQ,L2/sentinel-2-nrt,2019-09-01,-27.6,153.6
2288,1.71,55HFA,L2/sentinel-2-nrt,2019-09-01,-35.7,148.7
2950,1.69,56JNQ,L2/sentinel-2-nrt,2019-09-01,-27.6,153.6
2251,1.68,55HFA,L2/sentinel-2-nrt,2019-09-01,-35.7,148.7
2867,1.67,56JNQ,L2/sentinel-2-nrt,2019-09-01,-27.6,153.6
4494,1.62,56JLN,L2/sentinel-2-nrt,2019-09-01,-29.4,151.5
966,1.65,"14,-34",WOfS/filtered_summary,2019-09-01,-30.0,147.2
2407,1.64,51KUT,L2/sentinel-2-nrt,2019-09-01,-20.4,121.6
2407,1.64,51KUT,L2/sentinel-2-nrt,2019-09-01,-20.4,121.6
2770,1.63,50JQM,L2/sentinel-2-nrt,2019-09-01,-30.3,119.6
2728,1.63,51JTG,L2/sentinel-2-nrt,2019-09-01,-30.3,120.5
5094,1.59,56JMP,L2/sentinel-2-nrt,2019-09-01,-28.5,152.5
3468,1.59,56JMM,L2/sentinel-2-nrt,2019-09-01,-30.3,152.5
